,sex,failures,Fedu,Medu,Fjob,Mjob,health,famsup,schoolsup,age,Walc,higher,studytime,activities,G3_class,guardian
367,F,1,1,1,services,other,1,yes,no,17,2,yes,1,no,0,mother
368,F,0,3,2,services,at_home,4,yes,no,18,2,yes,1,no,0,father
369,F,0,4,4,teacher,other,5,yes,no,18,2,yes,2,no,1,father
370,F,2,2,3,services,services,3,no,no,19,1,yes,2,yes,0,other
371,M,0,2,1,services,at_home,3,yes,no,18,3,no,1,yes,1,father
372,F,0,2,2,at_home,other,3,no,no,17,1,yes,3,yes,1,mother
373,F,0,2,1,other,other,1,no,no,17,3,yes,1,yes,0,mother
374,F,0,4,4,other,other,1,no,no,18,1,yes,3,no,1,mother
375,F,0,1,1,other,other,4,no,no,18,2,yes,3,no,0,mother
376,F,2,2,4,other,health,3,yes,no,20,1,yes,3,no,1,other
377,F,0,4,4,services,teacher,2,no,no,18,4,yes,2,yes,0,mother
378,F,0,3,3,other,other,1,no,no,18,2,yes,2,no,1,mother
379,F,0,1,3,other,at_home,1,yes,no,17,3,yes,2,yes,0,mother
380,M,0,4,4,teacher,teacher,2,no,no,18,4,yes,2,yes,1,father
381,M,0,1,2,other,other,5,no,no,18,3,yes,1,yes,0,mother
382,M,0,3,2,services,other,3,no,no,17,1,yes,2,yes,0,father
383,M,1,1,1,services,other,5,no,no,19,3,yes,1,no,0,mother
384,M,1,2,4,other,other,3,no,no,18,3,yes,1,no,0,father
385,F,0,2,2,other,at_home,4,no,no,18,3,yes,3,no,0,mother
386,F,0,4,4,at_home,teacher,5,yes,no,18,2,yes,1,yes,0,mother
387,F,1,3,2,other,services,5,no,no,19,2,yes,3,yes,0,mother
388,F,0,1,3,services,teacher,1,yes,no,18,1,yes,2,no,0,mother
389,F,1,1,1,other,other,5,no,no,18,1,yes,2,yes,0,mother
390,M,2,2,2,services,services,4,yes,no,20,5,yes,2,no,0,other
391,M,0,1,3,services,services,2,no,no,17,4,yes,1,no,1,mother
392,M,3,1,1,other,other,3,no,no,21,3,yes,1,no,0,other
393,M,0,2,3,other,services,5,no,no,18,4,yes,1,no,0,mother
394,M,0,1,1,at_home,other,5,no,no,19,3,yes,1,no,0,father
