sex,failures,Fedu,Medu,Fjob,Mjob,famsup,schoolsup,age,higher,activities,G3_class,guardian,studytime_bin,famrel_bin,freetime_bin,goout_bin,Walc_bin,health_bin
F,0,2,2,other,other,no,no,18,yes,yes,0,other,0,1,0,0,0,0
F,0,2,2,other,at_home,no,no,18,yes,yes,0,mother,1,1,1,1,0,1
F,0,4,3,other,services,no,no,17,yes,no,1,mother,1,1,1,1,0,1
F,1,1,3,at_home,services,no,no,19,yes,no,1,other,1,1,1,0,0,1
F,0,2,3,other,other,yes,no,17,yes,no,0,mother,0,1,0,0,0,0
F,0,3,3,services,services,yes,no,18,yes,no,1,mother,1,1,0,0,0,0
F,0,2,3,other,other,yes,no,17,yes,no,0,mother,0,1,0,0,0,0
F,1,1,2,services,services,no,no,19,yes,yes,1,other,1,1,0,1,0,0
M,1,4,4,services,teacher,yes,no,18,yes,yes,0,father,0,1,0,0,0,0
M,0,4,3,other,services,no,no,18,yes,yes,1,mother,0,1,0,0,0,1
F,1,2,2,at_home,at_home,yes,no,17,yes,no,0,father,0,0,0,0,0,1
F,0,3,2,other,at_home,yes,no,18,yes,no,0,mother,1,1,0,0,0,0
F,0,2,3,services,other,no,no,18,yes,no,1,mother,1,1,1,0,0,0
M,0,3,4,services,teacher,no,no,18,yes,no,1,mother,1,1,0,0,0,1
M,0,3,4,other,teacher,yes,no,18,yes,no,0,mother,1,1,1,1,0,1
F,0,3,4,other,health,yes,no,17,yes,yes,1,mother,1,1,1,0,0,1
M,1,2,3,other,other,yes,no,18,yes,no,1,mother,0,0,1,1,1,1
M,3,1,1,services,other,no,no,19,yes,no,0,other,0,1,1,1,0,0
M,0,3,3,other,health,yes,no,17,yes,no,1,mother,0,1,1,1,0,0
M,1,3,1,services,at_home,no,no,18,no,no,0,mother,0,1,0,0,0,0
M,1,1,1,other,other,yes,no,19,yes,no,0,other,0,1,1,1,0,1
M,0,3,4,other,services,yes,no,17,yes,yes,1,mother,0,1,1,1,0,0
F,0,3,3,services,services,yes,no,18,yes,no,0,father,0,1,0,1,0,1
F,0,4,4,services,teacher,yes,no,17,yes,yes,1,father,0,1,0,0,0,1
F,0,2,3,other,services,no,no,17,yes,no,1,mother,0,0,0,0,0,1
M,0,1,1,services,other,no,no,18,yes,no,0,father,0,0,0,0,0,0
F,0,1,1,services,at_home,no,no,18,yes,no,1,father,1,1,0,0,0,1
F,0,4,1,other,at_home,no,no,18,yes,no,1,mother,0,1,0,1,1,1
M,1,1,1,other,at_home,no,no,18,no,yes,1,mother,0,1,1,0,0,1
F,0,3,3,services,services,yes,no,18,yes,no,0,mother,0,1,0,0,0,0
F,0,4,4,at_home,at_home,yes,no,17,yes,yes,1,mother,0,0,0,1,0,0
F,0,2,1,services,other,no,no,17,yes,no,1,father,0,0,0,0,0,0
M,0,3,1,other,at_home,yes,no,18,yes,no,0,mother,0,0,0,1,1,0
M,0,4,4,services,teacher,no,no,18,yes,no,1,mother,1,1,0,0,0,1
F,1,1,1,services,other,yes,no,17,yes,no,0,mother,0,1,0,0,0,0
F,0,3,2,services,at_home,yes,no,18,yes,no,0,father,0,1,0,0,0,1
F,0,4,4,teacher,other,yes,no,18,yes,no,1,father,0,0,0,0,0,1
F,2,2,3,services,services,no,no,19,yes,yes,0,other,0,0,0,0,0,0
M,0,2,1,services,at_home,yes,no,18,no,yes,1,father,0,1,0,0,0,0
F,0,2,2,at_home,other,no,no,17,yes,yes,1,mother,1,0,1,0,0,0
F,0,2,1,other,other,no,no,17,yes,yes,0,mother,0,0,1,1,0,0
F,0,4,4,other,other,no,no,18,yes,no,1,mother,1,1,1,1,0,0
F,0,1,1,other,other,no,no,18,yes,no,0,mother,1,1,0,0,0,1
F,2,2,4,other,health,yes,no,20,yes,no,1,other,1,1,1,0,0,0
F,0,4,4,services,teacher,no,no,18,yes,yes,0,mother,0,1,1,0,1,0
F,0,3,3,other,other,no,no,18,yes,no,1,mother,0,1,0,0,0,0
F,0,1,3,other,at_home,yes,no,17,yes,yes,0,mother,0,1,1,1,0,0
M,0,4,4,teacher,teacher,no,no,18,yes,yes,1,father,0,0,0,1,1,0
M,0,1,2,other,other,no,no,18,yes,yes,0,mother,0,1,1,0,0,1
M,0,3,2,services,other,no,no,17,yes,yes,0,father,0,1,1,0,0,0
M,1,1,1,services,other,no,no,19,yes,no,0,mother,0,1,0,0,0,1
M,1,2,4,other,other,no,no,18,yes,no,0,father,0,1,1,0,0,0
F,0,2,2,other,at_home,no,no,18,yes,no,0,mother,1,1,0,0,0,1
F,0,4,4,at_home,teacher,yes,no,18,yes,yes,0,mother,0,1,1,0,0,1
F,1,3,2,other,services,no,no,19,yes,yes,0,mother,1,1,1,0,0,1
F,0,1,3,services,teacher,yes,no,18,yes,no,0,mother,0,1,0,1,0,0
F,1,1,1,other,other,no,no,18,yes,yes,0,mother,0,0,0,0,0,1
M,2,2,2,services,services,yes,no,20,yes,no,0,other,0,1,1,1,1,1
M,0,1,3,services,services,no,no,17,yes,no,1,mother,0,0,1,1,1,0
M,3,1,1,other,other,no,no,21,yes,no,0,other,0,1,1,0,0,0
M,0,2,3,other,services,no,no,18,yes,no,0,mother,0,1,1,0,1,1
M,0,1,1,at_home,other,no,no,19,yes,no,0,father,0,0,0,0,0,1
